TIME,PID,D0,D1,D2,D3,D4,D5,D6,D7,CRC
13.967871937500000,0x06,0x02,0x40,0x00,0x4C,0x32,0x73,0x50,0x00,0x75
14.068360562500001,0x07,0xBB,0xFF,0x5F,0x73,0x4C,,,,0xDD
14.168844937499999,0x06,0x02,0x40,0x00,0x4C,0x63,0x73,0x41,0x00,0x53
14.269336937500000,0x07,0xB4,0xFF,0x60,0x73,0x4C,,,,0xE3
14.369825812500000,0x06,0x02,0x40,0x00,0x4C,0x55,0x73,0x45,0x00,0x5D
14.470309812500000,0x07,0xBD,0xFF,0x5E,0x73,0x4C,,,,0xDC
14.570798812500000,0x06,0x02,0x40,0x00,0x4C,0x59,0x73,0x42,0x00,0x5C
14.671287749999999,0x07,0xB3,0xFF,0x4A,0x73,0x4C,,,,0xFA
14.771777812500000,0x06,0x02,0x40,0x00,0x4C,0x42,0x73,0x45,0x00,0x70
14.872266437500000,0x07,0xBF,0xFF,0x55,0x73,0x4C,,,,0xE3
14.972755437500000,0x06,0x02,0x40,0x00,0x4C,0x52,0x73,0x4C,0x00,0x59
15.073239500000000,0x07,0xB8,0xFF,0x35,0x73,0x4C,,,,0x0B
15.173728375000000,0x06,0x02,0x40,0x00,0x4C,0x4F,0x73,0x44,0x00,0x64
15.274220500000000,0x07,0xBD,0xFF,0x4B,0x73,0x4C,,,,0xEF
15.374704749999999,0x06,0x02,0x40,0x00,0x4C,0x25,0x73,0x4E,0x00,0x84
15.475193437500000,0x07,0xB9,0xFF,0x1C,0x73,0x4C,,,,0x23
15.575682375000000,0x06,0x02,0x40,0x00,0x4C,0x46,0x73,0x42,0x00,0x6F
15.676171312499999,0x07,0xBC,0xFF,0x44,0x73,0x4C,,,,0xF7
15.776660187499999,0x06,0x02,0x40,0x00,0x4C,0x0D,0x73,0x4F,0x00,0x9B
15.877148875000000,0x07,0xBA,0xFF,0x3F,0x73,0x4C,,,,0xFE
15.977637812499999,0x06,0x02,0x40,0x00,0x4C,0x3E,0x73,0x45,0x00,0x74
16.078126500000000,0x07,0xB8,0xFF,0x36,0x73,0x4C,,,,0x0A
16.178610625000001,0x06,0x02,0x40,0x00,0x4C,0x30,0x73,0x4B,0x00,0x7C
16.279102812500000,0x07,0xBB,0xFF,0x39,0x73,0x4C,,,,0x04
16.379587062500001,0x06,0x02,0x40,0x00,0x4C,0x2E,0x73,0x43,0x00,0x86
16.480075812500001,0x07,0xB8,0xFF,0x25,0x73,0x4C,,,,0x1B
16.580564687500001,0x06,0x02,0x40,0x00,0x4C,0x34,0x73,0x4E,0x00,0x75
16.681053625000001,0x07,0xBC,0xFF,0x32,0x73,0x4C,,,,0x0A
16.781542500000000,0x06,0x02,0x40,0x00,0x4C,0x18,0x73,0x44,0x00,0x9B
16.882031187500001,0x07,0xB6,0xFF,0x0E,0x73,0x4C,,,,0x34
16.982520187500000,0x06,0x02,0x40,0x00,0x4C,0x2D,0x73,0x4A,0x00,0x80
17.083008812500001,0x07,0xBB,0xFF,0x0B,0x73,0x4C,,,,0x32
17.183497812500001,0x06,0x02,0x40,0x00,0x4C,0x01,0x73,0x45,0x00,0xB1
17.283985812499999,0x07,0xBA,0xFF,0x29,0x73,0x4C,,,,0x15
17.384470125000000,0x06,0x02,0x40,0x00,0x4C,0x26,0x73,0x4E,0x00,0x83
17.484958750000001,0x07,0xB9,0xFF,0xF2,0x72,0x4C,,,,0x4D
17.585447750000000,0x06,0x02,0x40,0x00,0x4C,0x23,0x73,0x43,0x00,0x91
17.685936687500000,0x07,0xB6,0xFF,0x21,0x73,0x4C,,,,0x21
17.786425187500001,0x06,0x02,0x40,0x00,0x4C,0x18,0x73,0x49,0x00,0x96
17.886913750000001,0x07,0xBB,0xFF,0x13,0x73,0x4C,,,,0x2A
17.987402750000001,0x06,0x02,0x40,0x00,0x4C,0x1D,0x73,0x43,0x00,0x97
18.087891375000002,0x07,0xB3,0xFF,0x1A,0x73,0x4C,,,,0x2B
18.188380375000001,0x06,0x02,0x40,0x00,0x4C,0x09,0x73,0x4E,0x00,0xA0
18.288868500000000,0x07,0xBB,0xFF,0x17,0x73,0x4C,,,,0x26
18.389352750000000,0x06,0x02,0x40,0x00,0x4C,0x16,0x73,0x44,0x00,0x9D
18.489841437500001,0x07,0xBE,0xFF,0xFC,0x72,0x4C,,,,0x3E
18.590330437500000,0x06,0x02,0x40,0x00,0x4C,0xF1,0x72,0x4F,0x00,0xB7
18.690819250000001,0x07,0xBD,0xFF,0x10,0x73,0x4C,,,,0x2B
18.791307750000001,0x06,0x02,0x40,0x00,0x4C,0x10,0x73,0x42,0x00,0xA5
18.891796437499998,0x07,0xBC,0xFF,0xE2,0x72,0x4C,,,,0x5A
18.992285312500002,0x06,0x02,0x40,0x00,0x4C,0x0C,0x73,0x4E,0x00,0x9D
19.092774062499998,0x07,0xB8,0xFF,0x0A,0x73,0x4C,,,,0x36
19.193263000000002,0x06,0x02,0x40,0x00,0x4C,0xD6,0x72,0x46,0x00,0xDB
19.293751312500000,0x07,0xBE,0xFF,0x02,0x73,0x4C,,,,0x38
19.394235562500000,0x06,0x02,0x40,0x00,0x4C,0x07,0x73,0x4E,0x00,0xA2
19.494724250000001,0x07,0xBC,0xFF,0x05,0x73,0x4C,,,,0x37
19.595213187500001,0x06,0x02,0x40,0x00,0x4C,0xFA,0x72,0x44,0x00,0xB9
19.695702062500001,0x07,0xBD,0xFF,0x03,0x73,0x4C,,,,0x38
19.796190500000002,0x06,0x02,0x40,0x00,0x4C,0x00,0x73,0x43,0x00,0xB4
19.896679249999998,0x07,0xB1,0xFF,0xF0,0x72,0x4C,,,,0x57
19.997168187500002,0x06,0x02,0x40,0x00,0x4C,0xE8,0x72,0x45,0x00,0xCA
2.009765937500000,0x07,0xF5,0x01,0x6F,0x74,0x4C,,,,0x91
2.110250250000000,0x06,0x02,0x00,0x00,0x4C,0x48,0x74,0xF3,0x01,0xF9
2.210742375000000,0x07,0xED,0x01,0x3F,0x74,0x4C,,,,0xC9
2.311231375000000,0x06,0x02,0x00,0x00,0x4C,0x72,0x74,0xF4,0x01,0xCE
2.411715312500000,0x07,0xF1,0x01,0x70,0x74,0x4C,,,,0x94
2.512204312500000,0x06,0x02,0x00,0x00,0x4C,0x39,0x74,0xF6,0x01,0x06
2.612693187500000,0x07,0xF4,0x01,0x73,0x74,0x4C,,,,0x8E
2.713183250000000,0x06,0x02,0x00,0x00,0x4C,0x72,0x74,0xED,0x01,0xD5
2.813671937500000,0x07,0xF4,0x01,0x34,0x74,0x4C,,,,0xCD
2.914160812500000,0x06,0x02,0x00,0x00,0x4C,0x6D,0x74,0xF4,0x01,0xD3
20.097656812499999,0x07,0xBD,0xFF,0xFC,0x72,0x4C,,,,0x3F
20.198145749999998,0x06,0x02,0x40,0x00,0x4C,0xFB,0x72,0x42,0x00,0xBA
20.298633812500000,0x07,0xB7,0xFF,0xDE,0x72,0x4C,,,,0x63
20.399122750000000,0x06,0x02,0x40,0x00,0x4C,0xF7,0x72,0x4D,0x00,0xB3
20.499606750000002,0x07,0xBC,0xFF,0xF8,0x72,0x4C,,,,0x44
20.600095750000001,0x06,0x02,0x40,0x00,0x4C,0xD5,0x72,0x45,0x00,0xDD
20.700584625000001,0x07,0xBB,0xFF,0xCA,0x72,0x4C,,,,0x73
20.801074437499999,0x06,0x02,0x40,0x00,0x4C,0xF3,0x72,0x4D,0x00,0xB7
20.901563124999999,0x07,0xBB,0xFF,0xF0,0x72,0x4C,,,,0x4D
21.002051937499999,0x06,0x02,0x40,0x00,0x4C,0xC0,0x72,0x45,0x00,0xF2
21.102540749999999,0x07,0xBC,0xFF,0xEE,0x72,0x4C,,,,0x4E
21.203025000000000,0x06,0x02,0x40,0x00,0x4C,0xEC,0x72,0x45,0x00,0xC6
21.303516437500001,0x07,0xB1,0xFF,0xB6,0x72,0x4C,,,,0x91
21.404005437500000,0x06,0x02,0x40,0x00,0x4C,0xE5,0x72,0x46,0x00,0xCC
21.504489437499998,0x07,0xBC,0xFF,0xEB,0x72,0x4C,,,,0x51
21.604978375000002,0x06,0x02,0x40,0x00,0x4C,0xE4,0x72,0x42,0x00,0xD1
21.705467250000002,0x07,0xBA,0xFF,0xDE,0x72,0x4C,,,,0x60
21.805956812500000,0x06,0x02,0x40,0x00,0x4C,0xE6,0x72,0x50,0x00,0xC1
21.906445500000000,0x07,0xB9,0xFF,0xE4,0x72,0x4C,,,,0x5B
22.006934187500001,0x06,0x02,0x40,0x00,0x4C,0xD5,0x72,0x45,0x00,0xDD
22.107423062500001,0x07,0xBC,0xFF,0xCB,0x72,0x4C,,,,0x71
22.207907375000001,0x06,0x02,0x40,0x00,0x4C,0xE1,0x72,0x45,0x00,0xD1
22.308398687499999,0x07,0xB1,0xFF,0xC6,0x72,0x4C,,,,0x81
22.408887812500002,0x06,0x02,0x40,0x00,0x4C,0xBD,0x72,0x46,0x00,0xF4
22.509376437499999,0x07,0xBB,0xFF,0xDD,0x72,0x4C,,,,0x60
22.609860749999999,0x06,0x02,0x40,0x00,0x4C,0xDD,0x72,0x44,0x00,0xD6
22.710349624999999,0x07,0xBB,0xFF,0xB2,0x72,0x4C,,,,0x8B
22.810840249999998,0x06,0x02,0x40,0x00,0x4C,0xA9,0x72,0x4F,0x00,0x00
22.911328812499999,0x07,0xB8,0xFF,0xDA,0x72,0x4C,,,,0x66
23.011817874999998,0x06,0x02,0x40,0x00,0x4C,0xA9,0x72,0x45,0x00,0x0A
