rosbagTimestamp,northing,data,status,data,easting,data
1526386641598391668,,5548284.75292,,-1,,7422648.36638
1526386641649350083,,5548284.75404,,-1,,7422648.36592
1526386641699539116,,5548284.75368,,-1,,7422648.36544
1526386641749275320,,5548284.75235,,-1,,7422648.36721
1526386641799501057,,5548284.75516,,-1,,7422648.36558
1526386641849408197,,5548284.75476,,-1,,7422648.36713
1526386641899135340,,5548284.75349,,-1,,7422648.36556
1526386641949688004,,5548284.75349,,-1,,7422648.36556
1526386641999409072,,5548284.7546,,-1,,7422648.36534
1526386642048970225,,5548284.75163,,-1,,7422648.36553
1526386642099405048,,5548284.75424,,-1,,7422648.36473
1526386642149054778,,5548284.75126,,-1,,7422648.36553
1526386642199332902,,5548284.75052,,-1,,7422648.36575
1526386642249717200,,5548284.74811,,-1,,7422648.36584
1526386642299442904,,5548284.74904,,-1,,7422648.36549
1526386642349950850,,5548284.74941,,-1,,7422648.36526
1526386642399540512,,5548284.75069,,-1,,7422648.36659
1526386642449485668,,5548284.74846,,-1,,7422648.36704
1526386642499343260,,5548284.74921,,-1,,7422648.36645
1526386642549212468,,5548284.74997,,-1,,7422648.36551
1526386642599616134,,5548284.74959,,-1,,7422648.36562
1526386642648947801,,5548284.74827,,-1,,7422648.36775
1526386642698408204,,5548284.74958,,-1,,7422648.36634
1526386642748648600,,5548284.749,,-1,,7422648.36812
1526386642798951025,,5548284.74827,,-1,,7422648.36739
1526386642849203696,,5548284.74827,,-1,,7422648.36775
1526386642899124342,,5548284.74789,,-1,,7422648.3681
1526386642949195242,,5548284.75108,,-1,,7422648.36528
1526386642999444520,,5548284.75034,,-1,,7422648.36515
1526386643049355618,,5548284.75015,,-1,,7422648.36575
1526386643099322018,,5548284.74922,,-1,,7422648.36573
1526386643149314628,,5548284.7496,,-1,,7422648.3655
1526386643199448912,,5548284.74938,,-1,,7422648.36741
1526386643250253708,,5548284.7481,,-1,,7422648.3662
1526386643299031747,,5548284.74998,,-1,,7422648.36467
1526386643349168110,,5548284.74943,,-1,,7422648.36431
1526386643399197972,,5548284.7496,,-1,,7422648.3649
1526386643449545819,,5548284.74736,,-1,,7422648.36595
1526386643499229095,,5548284.74907,,-1,,7422648.3637
1526386643549009400,,5548284.74793,,-1,,7422648.36548
1526386643599262680,,5548284.74906,,-1,,7422648.3643
1526386643648423088,,5548284.74887,,-1,,7422648.36442
1526386643698876497,,5548284.74737,,-1,,7422648.36583
1526386643748453630,,5548284.74759,,-1,,7422648.36344
1526386643799374051,,5548284.74717,,-1,,7422648.36654
1526386643849667161,,5548284.74867,,-1,,7422648.36537
1526386643899122386,,5548284.74776,,-1,,7422648.36392
1526386643949406458,,5548284.74627,,-1,,7422648.36462
1526386643999332796,,5548284.74512,,-1,,7422648.36747
1526386644049564944,,5548284.7459,,-1,,7422648.36485
1526386644102559250,,5548284.74758,,-1,,7422648.36416
1526386644148831639,,5548284.7524,,-1,,7422648.36411
1526386644199370633,,5548284.74982,,-1,,7422648.36312
1526386644249185283,,5548284.75056,,-1,,7422648.36289
1526386644299325176,,5548284.75108,,-1,,7422648.36516
1526386644349102278,,5548284.75202,,-1,,7422648.36422
1526386644399556910,,5548284.75071,,-1,,7422648.36504
1526386644452221092,,5548284.74995,,-1,,7422648.36658
1526386644499320868,,5548284.74902,,-1,,7422648.36657
1526386644549221396,,5548284.74981,,-1,,7422648.36336
1526386644599698431,,5548284.75127,,-1,,7422648.36481
1526386644649344105,,5548284.75147,,-1,,7422648.36398
1526386644699944521,,5548284.75035,,-1,,7422648.36492
