rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1524145438882865065,,658,,1524145423,669029434,'',2,"""/left_gps_broadcaster""","""Spinning until killed publishing /base_link to /gps_left""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/static_transform_broadcaster_program.cpp""","""main""",142,"[/rosout, /tf_static]"
1524145438882865065,,659,,1524145423,647492594,'',2,"""/laser_broadcaster""","""Spinning until killed publishing /base_link to /laser""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/static_transform_broadcaster_program.cpp""","""main""",142,"[/rosout, /tf_static]"
1524145438882865065,,660,,1524145423,653834728,'',2,"""/kinect_broadcaster""","""Spinning until killed publishing /base_link to /camera_link""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/static_transform_broadcaster_program.cpp""","""main""",142,"[/rosout, /tf_static]"
1524145438882865065,,661,,1524145423,677103251,'',2,"""/imu_broadcaster""","""Spinning until killed publishing /base_link to /imu""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/static_transform_broadcaster_program.cpp""","""main""",142,"[/rosout, /tf_static]"
1524145438882865065,,662,,1524145423,658417936,'',2,"""/right_gps_broadcaster""","""Spinning until killed publishing /base_link to /gps_right""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/static_transform_broadcaster_program.cpp""","""main""",142,"[/rosout, /tf_static]"
1524145438882865065,,663,,1524145438,882865065,'',4,"""/navsat_transform_node_right""","""Detected jump back in time of 70833.7s. Clearing TF buffer.""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/transform_listener.cpp""","""TransformListener",106,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1524145438882865065,,664,,1524145438,882865065,'',4,"""/navsat_transform_node_left""","""Detected jump back in time of 70833.7s. Clearing TF buffer.""","""/tmp/binarydeb/ros-kinetic-tf2-ros-0.5.17/src/transform_listener.cpp""","""TransformListener",106,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1524145438943376667,,665,,1524145438,943376667,'',4,"""/ekf_se_odom""","""Could not obtain transform from odom to base_link. Error was \""odom\"" passed to lookupTransform\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",135,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1524145438973661910,,666,,1524145438,973661910,'',4,"""/ekf_se_map""","""Could not obtain transform from odom to base_link. Error was \""odom\"" passed to lookupTransform\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",135,"[/rosout, /diagnostics, /odometry/filtered_map, /tf]"
1524145439044458768,,667,,1524145439,44458768,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1524145439074720639,,668,,1524145439,74720639,'',4,"""/ekf_se_map""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_map, /tf]"
