Syntax version=4
Thu Mar 15 12:28:39 2018
Starting process (2648443 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)
D:	67.55	6558	12006	19048	-726	-2724	75	-5390	-3101	1686
D:	68.58	5074	8139	10407	-2428	-2724	75	-5390	-3101	1686
D:	69.58	5074	8139	10407	-2428	-2724	75	-5390	-3101	1686
D:	70.50	5074	8139	10407	-2428	-2724	75	-5390	-3101	1686
D:	71.48	5074	8139	10407	-2428	-2724	75	-5390	-3101	1686
D:	72.34	5074	8139	10407	-2945	-2262	-137	-5390	-3101	1686
D:	73.20	7111	6203	7204	-2945	-2262	-137	-5390	-3101	1686
D:	74.05	7111	6203	7204	-2945	-2262	-137	-5390	-3101	1686
D:	74.93	7111	6203	7204	-2945	-2262	-137	-5390	-3101	1686
D:	75.86	7111	6203	7204	-1665	1501	-745	-5390	-3101	1686
D:	76.98	5927	8416	11452	-1720	1501	-745	-5390	-3101	1686
D:	78.16	5927	8416	11452	-1720	1501	-745	-5390	-3101	1686
D:	79.02	5927	8416	11452	-1720	1501	-745	-5390	-3101	1686
D:	79.93	5927	8416	11452	-1650	3057	-835	-5390	-3101	1686
D:	80.80	3301	10001	14976	-1650	3057	-835	-5390	-3101	1686
D:	81.67	3301	10001	14976	-1650	3057	-835	-5390	-3101	1686
D:	82.55	3301	10001	14976	-1650	3057	-835	-5390	-3101	1686
D:	83.41	3301	10001	14976	-1650	3057	-835	-5390	-3101	1686
D:	84.31	3301	10001	14976	-2295	786	-412	-5390	-3101	1686
D:	85.17	4634	8461	14125	-2295	786	-412	-5390	-3101	1686
D:	86.28	4634	8461	14125	-2295	786	-412	-5390	-3101	1686
D:	87.23	4634	8461	14125	-2295	786	-412	-5390	-3101	1686
D:	88.29	4634	8461	14125	-2747	-743	-692	-5390	-3101	1686
D:	89.21	5741	7811	10141	-2747	-743	-692	-5390	-3101	1686
D:	90.07	5741	7811	10141	-2747	-743	-692	-5375	-3109	1658
D:	90.96	5741	7811	10141	-2747	-743	-692	-5375	-3109	1658
D:	91.85	5741	7811	10141	-2747	784	-1063	-5375	-3109	1658
D:	92.73	6108	7899	10892	-2701	784	-1063	-5375	-3109	1658
D:	93.63	6108	7899	10892	-2701	784	-1063	-5375	-3109	1658
D:	94.50	6108	7899	10892	-2701	784	-1063	-5375	-3109	1658
D:	95.37	6108	7899	10892	-2701	784	-1063	-5375	-3109	1658
D:	96.20	6108	7899	10892	-2537	2571	-1253	-5375	-3109	1658
D:	97.21	6996	6546	14103	-2537	2571	-1253	-5375	-3109	1658
D:	98.17	6996	6546	14103	-2537	2571	-1253	-5375	-3109	1658
D:	99.02	6996	6546	14103	-2537	2571	-1253	-5375	-3109	1658
D:	99.88	6996	6546	14103	-1769	3461	-676	-5375	-3109	1658
D:	100.72	3457	10723	12639	-1716	3461	-676	-5375	-3109	1658
D:	101.64	3457	10723	12639	-1716	3461	-676	-5375	-3109	1658
D:	102.51	3457	10723	12639	-1716	3461	-676	-5375	-3109	1658
D:	103.37	3457	10723	12639	-1716	3461	-676	-5375	-3109	1658
D:	104.25	3457	10723	12639	-3412	2607	-202	-5375	-3109	1658
D:	105.10	3758	7853	12674	-3412	2607	-202	-5375	-3109	1658
D:	105.95	3758	7853	12674	-3412	2607	-202	-5375	-3109	1658
D:	107.07	3758	7853	12674	-3412	2607	-202	-5375	-3109	1658
D:	108.02	3758	7853	12674	-3749	1970	-761	-5375	-3109	1658
D:	109.07	4770	7255	12215	-3749	1970	-761	-5375	-3109	1658
D:	109.96	4770	7255	12215	-3749	1970	-761	-5372	-3091	1708
D:	110.80	4770	7255	12215	-3749	1970	-761	-5372	-3091	1708
D:	111.68	4770	7255	12215	-3749	2339	-1066	-5372	-3091	1708
D:	112.95	4354	8643	12466	-2764	2339	-1066	-5372	-3091	1708
D:	113.96	4354	8643	12466	-2764	2339	-1066	-5372	-3091	1708
D:	114.82	4354	8643	12466	-2764	2339	-1066	-5372	-3091	1708
D:	115.67	4354	8643	12466	-2764	3039	-878	-5372	-3091	1708
D:	116.55	4263	8564	13667	-2411	3039	-878	-5372	-3091	1708
D:	117.41	4263	8564	13667	-2411	3039	-878	-5372	-3091	1708
D:	118.27	4263	8564	13667	-2411	3039	-878	-5372	-3091	1708
D:	119.15	4263	8564	13667	-2411	3039	-878	-5372	-3091	1708
D:	120.07	4263	8564	13667	-3023	2537	-928	-5372	-3091	1708
D:	120.93	4194	8494	13425	-3023	2537	-928	-5372	-3091	1708
D:	121.77	4194	8494	13425	-3023	2537	-928	-5372	-3091	1708
D:	122.62	4194	8494	13425	-3023	2537	-928	-5372	-3091	1708
D:	123.49	4194	8494	13425	-3023	2537	-928	-5372	-3091	1708
D:	124.36	4194	8494	13425	-3146	1376	-929	-5372	-3091	1708
D:	125.20	4620	8328	13074	-3146	1376	-929	-5372	-3091	1708
D:	126.13	4620	8328	13074	-3146	1376	-929	-5372	-3091	1708
D:	127.02	4620	8328	13074	-3146	1376	-929	-5372	-3091	1708
D:	128.03	4620	8328	13074	-3177	577	-744	-5372	-3091	1708
D:	129.18	4833	8432	12066	-3177	577	-744	-5372	-3091	1708
D:	130.17	4833	8432	12066	-3177	577	-744	-5344	-3117	1714
D:	131.05	4833	8432	12066	-3177	577	-744	-5344	-3117	1714
D:	132.06	4833	8432	12066	-3260	995	-393	-5344	-3117	1714
D:	133.07	4677	7704	12218	-3260	995	-393	-5344	-3117	1714
D:	134.09	4677	7704	12218	-3260	995	-393	-5344	-3117	1714
D:	134.96	4677	7704	12218	-3260	995	-393	-5344	-3117	1714
D:	135.83	4677	7704	12218	-3260	1262	-493	-5344	-3117	1714
D:	136.70	4375	7653	13180	-3397	1262	-493	-5344	-3117	1714
