rosbagTimestamp,northing,data,status,data,easting,data
1526641303921116624,,5548336.66978,,2,,7422483.24533
1526641303971878816,,5548336.66979,,2,,7422483.24485
1526641304022028212,,5548336.67017,,2,,7422483.24426
1526641304072048368,,5548336.66961,,2,,7422483.24461
1526641304122078313,,5548336.66923,,2,,7422483.24508
1526641304172284399,,5548336.67201,,2,,7422483.24536
1526641304222140305,,5548336.67241,,2,,7422483.24322
1526641304272376733,,5548336.67088,,2,,7422483.24654
1526641304322234904,,5548336.67127,,2,,7422483.24499
1526641304372273399,,5548336.67091,,2,,7422483.24463
1526641304422101215,,5548336.67184,,2,,7422483.24429
1526641304472076027,,5548336.67092,,2,,7422483.24368
1526641304521800109,,5548336.67241,,2,,7422483.24334
1526641304571761302,,5548336.67141,,2,,7422483.24798
1526641304622016102,,5548336.6714,,2,,7422483.24929
1526641304672208118,,5548336.67218,,2,,7422483.2462
1526641304722515970,,5548336.67124,,2,,7422483.24738
1526641304771830208,,5548336.67086,,2,,7422483.24773
1526641304822067675,,5548336.67049,,2,,7422483.24785
1526641304871514765,,5548336.67199,,2,,7422483.24691
1526641304921543385,,5548336.67236,,2,,7422483.24692
1526641304972225550,,5548336.67105,,2,,7422483.24785
1526641305021994557,,5548336.67311,,2,,7422483.24645
1526641305071843958,,5548336.6718,,2,,7422483.24727
1526641305122266229,,5548336.67106,,2,,7422483.24666
1526641305172385407,,5548336.67123,,2,,7422483.24786
1526641305227496928,,5548336.67142,,2,,7422483.2475
1526641305271453447,,5548336.67179,,2,,7422483.24739
1526641305321955835,,5548336.67122,,2,,7422483.24869
1526641305372037509,,5548336.67326,,2,,7422483.24824
1526641305422242247,,5548336.67327,,2,,7422483.24801
1526641305471841711,,5548336.67361,,2,,7422483.25004
1526641305521913718,,5548336.67141,,2,,7422483.2481
1526641305571812306,,5548336.67291,,2,,7422483.2474
1526641305621758603,,5548336.67048,,2,,7422483.24832
1526641305672137093,,5548336.67159,,2,,7422483.24894
1526641305721909702,,5548336.67252,,2,,7422483.24859
1526641305772312293,,5548336.6716,,2,,7422483.2481
1526641305821871957,,5548336.67326,,2,,7422483.24836
1526641305872004768,,5548336.67418,,2,,7422483.24897
1526641305921947734,,5548336.67289,,2,,7422483.24884
1526641305972396813,,5548336.67289,,2,,7422483.24836
1526641306022060595,,5548336.67327,,2,,7422483.24777
1526641306072122599,,5548336.67327,,2,,7422483.24777
1526641306122336107,,5548336.674,,2,,7422483.24885
1526641306172457508,,5548336.67493,,2,,7422483.24839
1526641306221728736,,5548336.67457,,2,,7422483.24779
1526641306272125490,,5548336.67532,,2,,7422483.2472
