rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,"\ instead.\n""",file,function,line,topics
1523876273061185664,,1447,,1523876273,60974066,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523876273167728206,,1448,,1523876273,167388615,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.5384211498466875412)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523876273190666878,,1449,,1523876273,190342669,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.5384211498466875412)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523876274168074303,,1450,,1523876274,167501467,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.5384238321511283232)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523876274190769294,,1451,,1523876274,190381080,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.5384238321511283232)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523876275063923186,,1452,,1523876275,63650893,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523876275167588088,,1453,,1523876275,167369237,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.5383881671539643143)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523876275190914969,,1454,,1523876275,190399001,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.5383881671539643143)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523876276167619107,,1455,,1523876276,167369473,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.5384050757242615504)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523876276190741839,,1456,,1523876276,190426194,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.5384050757242615504)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
