rosbagTimestamp,northing,data,status,data,easting,data
1526387247845959565,,5548341.99178,,1,,7422496.154
1526387247999670518,,5548342.00585,,1,,7422496.15564
1526387248132454980,,5548342.00694,,1,,7422496.15696
1526387248253110624,,5548342.00844,,1,,7422496.15555
1526387248401465728,,5548342.00898,,1,,7422496.15699
1526387248463112449,,5548342.00788,,1,,7422496.15626
1526387283948096036,,5548327.9682,,0,,7422534.67023
1526387283984832171,,5548327.90748,,0,,7422534.8307
1526387284034096748,,5548327.84683,,0,,7422534.9858
1526387284098821490,,5548327.84683,,0,,7422534.9858
1526387288883787830,,5548321.9532,,0,,7422550.32735
1526387288933953659,,5548321.9532,,0,,7422550.32735
1526387288983691025,,5548321.9532,,0,,7422550.32735
1526387289034193924,,5548321.9532,,0,,7422550.32735
1526387289083668727,,5548321.9532,,0,,7422550.32735
1526387289780897620,,5548320.74879,,0,,7422553.60779
1526387289834217540,,5548320.74879,,0,,7422553.60779
1526387290891384130,,5548319.5324,,0,,7422556.87027
1526387290934241082,,5548319.5324,,0,,7422556.87027
1526387290983815080,,5548319.5324,,0,,7422556.87027
1526387292903114156,,5548316.63074,,1,,7422563.17806
1526387293051882741,,5548316.4643,,1,,7422563.66114
1526387293151790410,,5548316.32902,,1,,7422563.97698
1526387293549523973,,5548316.01834,,1,,7422564.79284
1526387293699466219,,5548315.65081,,1,,7422565.75753
1526387293761118076,,5548317.37395,,0,,7422566.38443
1526387293782701267,,5548317.37395,,0,,7422566.38443
1526387293833134986,,5548317.37395,,0,,7422566.38443
1526387293883315491,,5548317.37395,,0,,7422566.38443
1526387293949586256,,5548315.31925,,1,,7422566.54277
1526387294003401980,,5548315.25656,,1,,7422566.71132
1526387294150404649,,5548315.32953,,1,,7422567.48476
1526387294299333751,,5548315.13254,,1,,7422567.96488
1526387294398404890,,5548314.99787,,1,,7422568.28981
1526387294497650329,,5548314.81897,,1,,7422568.59631
1526387294549895378,,5548314.74634,,1,,7422568.74683
1526387294648727370,,5548314.59556,,1,,7422569.0572
1526387294701760554,,5548314.51788,,1,,7422569.21086
1526387294765550156,,5548315.76122,,0,,7422569.28602
1526387294783085334,,5548315.76122,,0,,7422569.28602
1526387294848740261,,5548314.29799,,1,,7422569.68516
1526387294999561868,,5548314.06442,,1,,7422570.14351
1526387295097634034,,5548313.91726,,1,,7422570.47279
1526387295199678725,,5548313.77234,,1,,7422570.78898
1526387295352121908,,5548313.53538,,1,,7422571.26387
