rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,"\ instead.\n""",file,function,line,topics
1523877358582257748,,146,,1523877358,581818974,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877358656786545,,147,,1523877358,656628718,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8861917188754879771)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877358668713576,,148,,1523877358,668492604,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8861917188754879771)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877359656788332,,149,,1523877359,656647127,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8862905790666284478)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877359668732343,,150,,1523877359,668525410,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8862905790666284478)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877360584381005,,151,,1523877360,584155905,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877360656810544,,152,,1523877360,656662055,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8707775430721669263)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877360668808466,,153,,1523877360,668544793,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8672303242585530647)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877361656775525,,154,,1523877361,656621878,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.8100691565747246692)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877361668962750,,155,,1523877361,668568474,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.8104492753762861934)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877362589430076,,156,,1523877362,589149729,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877362656814797,,157,,1523877362,656635054,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, 0, -1.9772881258916688019)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877362668739877,,158,,1523877362,668521616,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, 0, -1.9948881834741438723)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877363656831022,,159,,1523877363,656648074,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.2965316636641945891)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877363668778419,,160,,1523877363,668542531,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.3153069078242185519)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877364593477475,,161,,1523877364,593216288,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877364656936649,,162,,1523877364,656660012,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.6657038471740421848)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877364668801829,,163,,1523877364,668540121,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.6785216559520272916)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877365656760120,,164,,1523877365,656621810,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.8928436527044123494)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877365668738161,,165,,1523877365,668520600,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.8989048367525422911)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877366598135517,,166,,1523877366,597740101,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877366656973214,,167,,1523877366,656707361,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.9186771723182762805)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877366668962655,,168,,1523877366,668638068,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.9186373425619902555)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877367656990923,,169,,1523877367,656721683,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.9144587209084220625)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877367669003597,,170,,1523877367,668642693,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.9146427557712595302)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877368602732982,,171,,1523877368,602312174,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877368657028910,,172,,1523877368,656720127,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, -2.9373810176192081123)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877368668749574,,173,,1523877368,668509953,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, -2.9412772259817852039)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877369656938707,,174,,1523877369,656693479,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.1228430759180318965)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877369668782678,,175,,1523877369,668519980,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.1228430759180318965)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877370608852444,,176,,1523877370,608561743,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
