rosbagTimestamp,clock,secs,nsecs
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660219897
1524145438711164587,,1524145438,660892997
1524145438711164587,,1524145438,670956194
1524145438711164587,,1524145438,681017474
1524145438711164587,,1524145438,691042994
1524145438711164587,,1524145438,701104442
1524145438711164587,,1524145438,711164587
1524145438711164587,,1524145438,721220699
1524145438731277935,,1524145438,731277935
1524145438741334096,,1524145438,741334096
1524145438751375516,,1524145438,751375516
1524145438761436655,,1524145438,761436655
1524145438771518394,,1524145438,771518394
1524145438781580175,,1524145438,781580175
1524145438791644304,,1524145438,791644304
1524145438791644304,,1524145438,801703439
1524145438811832690,,1524145438,811832690
1524145438821942547,,1524145438,821942547
1524145438832086191,,1524145438,832086191
1524145438842182957,,1524145438,842182957
1524145438852284893,,1524145438,852284893
1524145438862400086,,1524145438,862400086
1524145438872521406,,1524145438,872521406
1524145438882611911,,1524145438,882611911
1524145438882611911,,1524145438,892903124
1524145438892903124,,1524145438,902961441
1524145438913046934,,1524145438,913046934
1524145438923112569,,1524145438,923112569
1524145438933177506,,1524145438,933177506
1524145438943272204,,1524145438,943272204
1524145438953336609,,1524145438,953336609
1524145438963433671,,1524145438,963433671
1524145438973578378,,1524145438,973578378
1524145438983750881,,1524145438,983750881
1524145438993843416,,1524145438,993843416
1524145439003903320,,1524145439,3903320
1524145439013991718,,1524145439,13991718
1524145439024100511,,1524145439,24100511
1524145439034208124,,1524145439,34208124
1524145439044312007,,1524145439,44312007
1524145439054413663,,1524145439,54413663
1524145439064508999,,1524145439,64508999
1524145439074587731,,1524145439,74587731
1524145439084691384,,1524145439,84691384
1524145439094750637,,1524145439,94750637
1524145439104835629,,1524145439,104835629
1524145439114934573,,1524145439,114934573
1524145439125042364,,1524145439,125042364
1524145439135107586,,1524145439,135107586
1524145439145168623,,1524145439,145168623
1524145439155246881,,1524145439,155246881
1524145439155246881,,1524145439,165314013
1524145439175407558,,1524145439,175407558
1524145439185491545,,1524145439,185491545
1524145439195563504,,1524145439,195563504
1524145439205656833,,1524145439,205656833
1524145439215728201,,1524145439,215728201
1524145439225790756,,1524145439,225790756
1524145439235878590,,1524145439,235878590
1524145439245948431,,1524145439,245948431
1524145439256026900,,1524145439,256026900
1524145439266093399,,1524145439,266093399
1524145439276176867,,1524145439,276176867
1524145439286256995,,1524145439,286256995
1524145439296342050,,1524145439,296342050
1524145439306428071,,1524145439,306428071
1524145439316517303,,1524145439,316517303
1524145439326585126,,1524145439,326585126
1524145439336686014,,1524145439,336686014
1524145439346787875,,1524145439,346787875
