rosbagTimestamp,northing,data,easting,data
1526291318167004357,,5548189.13353,,7422626.064
1526291318209213576,,5548189.13572,,7422626.06642
1526291318258883942,,5548189.13409,,7422626.06365
1526291318312337467,,5548189.13522,,7422626.06271
1526291318359215953,,5548189.12362,,7422626.0567
1526291318410140006,,5548189.12253,,7422626.05537
1526291318459001646,,5548189.12513,,7422626.05469
1526291318509523880,,5548189.12395,,7422626.05969
1526291318559742427,,5548189.12427,,7422626.06339
1526291318609702646,,5548189.10717,,7422626.05336
1526291318661491721,,5548189.10604,,7422626.05429
1526291318709585608,,5548189.10773,,7422626.05313
1526291318760552963,,5548189.10533,,7422626.05226
1526291318809771285,,5548189.13586,,7422626.06976
1526291318859730192,,5548189.13809,,7422626.06908
1526291318909636765,,5548189.13865,,7422626.06909
1526291318959394682,,5548189.1401,,7422626.07078
1526291319011341581,,5548189.13978,,7422626.08032
1526291319059812327,,5548189.12598,,7422626.0732
1526291319110298916,,5548189.12725,,7422626.07513
1526291319159878136,,5548189.12414,,7422626.07198
1526291319209661173,,5548189.1249,,7422626.0708
1526291319259599897,,5548189.1247,,7422626.07187
1526291319309820131,,5548189.12769,,7422626.07024
1526291319361221784,,5548189.12746,,7422626.0731
1526291319409555064,,5548189.1295,,7422626.07337
1526291319460618671,,5548189.1308,,7422626.07339
1526291319509491634,,5548189.13038,,7422626.07684
1526291319559124393,,5548189.11128,,7422626.0638
1526291319611767976,,5548189.11719,,7422626.06544
1526291319658585865,,5548189.11882,,7422626.06797
1526291319709251869,,5548189.11866,,7422626.06617
1526291319759000502,,5548189.11772,,7422626.06759
1526291319812418280,,5548189.1355,,7422626.08157
1526291319859679290,,5548189.13609,,7422626.07919
1526291319909676901,,5548189.13197,,7422626.08212
1526291319959268441,,5548189.13397,,7422626.08453
1526291320009438813,,5548189.11192,,7422626.0835
1526291320061775020,,5548189.11377,,7422626.08436
1526291320109831821,,5548189.11376,,7422626.08496
1526291320165366832,,5548189.11306,,7422626.0822
1526291320209291406,,5548189.11303,,7422626.08435
1526291320259741481,,5548189.10917,,7422626.08203
1526291320309644745,,5548189.11082,,7422626.08265
1526291320359682843,,5548189.11178,,7422626.08075
1526291320411424007,,5548189.11176,,7422626.08242
1526291320459711020,,5548189.11103,,7422626.08146
1526291320509949547,,5548189.14379,,7422626.11081
1526291320559150479,,5548189.14159,,7422626.10923
1526291320611024888,,5548189.13728,,7422626.11215
1526291320659785933,,5548189.13782,,7422626.11371
1526291320709681764,,5548189.13668,,7422626.11525
1526291320759826138,,5548189.13164,,7422626.10455
1526291320809557605,,5548189.13015,,7422626.1056
1526291320859650936,,5548189.12905,,7422626.10439
1526291320909649143,,5548189.13053,,7422626.10465
1526291320959706021,,5548189.12921,,7422626.10595
1526291321012239439,,5548189.13215,,7422626.10778
1526291321059370754,,5548189.13272,,7422626.10731
1526291321111647932,,5548189.13346,,7422626.1072
1526291321166926673,,5548189.13582,,7422626.11058
1526291321210316447,,5548189.11873,,7422626.10007
1526291321258821943,,5548189.11708,,7422626.09897
1526291321308951370,,5548189.11891,,7422626.10067
1526291321358786996,,5548189.11947,,7422626.09996
1526291321408694322,,5548189.12003,,7422626.09973
1526291321460567649,,5548189.13415,,7422626.11091
1526291321510303736,,5548189.13091,,7422626.11707
1526291321561177209,,5548189.13291,,7422626.11925
