Syntax version=4
Wed Apr 04 09:15:05 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	48.15	0.000000	0
D:	48.77	0.000000	0
D:	49.37	0.000000	0
D:	49.96	0.000000	0
D:	50.57	0.000000	0
D:	51.20	0.000000	0
D:	51.81	0.000000	0
D:	52.41	0.000000	0
D:	53.02	0.000000	0
D:	53.69	0.000000	0
D:	54.29	0.000000	0
D:	54.89	0.000000	0
D:	55.55	0.000000	0
D:	56.15	0.000000	0
D:	56.77	0.000000	0
D:	57.37	0.000000	0
D:	57.97	0.000000	0
D:	58.60	0.000000	0
D:	59.21	0.000000	0
D:	59.81	0.000000	0
D:	60.41	0.000000	0
D:	61.01	0.000000	0
D:	61.68	0.000000	0
D:	62.28	0.000000	0
D:	62.89	0.000000	0
D:	63.55	0.000000	0
D:	64.15	0.000000	0
D:	64.76	0.000000	0
D:	65.36	0.000000	0
D:	65.96	0.000000	0
D:	66.56	0.000000	0
D:	67.17	0.000000	0
D:	67.76	0.000000	0
D:	68.36	0.000000	0
D:	68.96	0.000000	0
D:	69.56	0.000000	0
D:	70.16	0.000000	0
D:	70.76	0.000000	0
D:	71.36	0.000000	0
D:	71.96	0.000000	0
D:	72.56	0.000000	0
D:	73.16	0.000000	0
D:	73.76	0.000000	0
D:	74.43	0.000000	0
D:	75.18	0.000000	0
D:	75.92	0.000000	0
D:	76.68	0.000000	0
D:	77.43	0.000000	0
D:	78.17	0.000000	0
D:	78.92	0.000000	0
D:	79.67	0.000000	0
D:	80.40	0.000000	0
D:	81.15	0.000000	0
D:	81.90	0.000000	0
D:	82.62	0.000000	0
D:	83.37	0.000000	0
D:	84.09	0.000000	0
D:	84.82	0.000000	0
D:	85.58	0.000000	0
D:	86.30	0.000000	0
D:	87.06	0.000000	0
D:	87.80	0.000000	0
D:	88.58	0.000000	0
D:	89.33	0.000000	0
D:	90.16	0.000000	0
D:	90.99	0.000000	0
D:	91.70	0.000000	0
D:	92.72	0.000000	0
D:	93.48	0.000000	0
D:	94.20	0.000000	0
