Syntax version=4
Wed Apr 04 08:55:07 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	time(ms)	(0x2000109c,6)	(0x200010be,2)
D:	0.09	0.000000	0
D:	0.79	0.000000	0
D:	1.45	0.000000	0
D:	2.07	0.000000	0
D:	2.69	0.000000	0
D:	3.28	0.000000	0
D:	3.89	0.000000	0
D:	4.47	0.000000	0
D:	5.19	0.000000	0
D:	5.90	0.000000	0
D:	6.54	0.000000	0
D:	7.20	0.000000	0
D:	7.86	0.000000	0
D:	8.51	0.000000	0
D:	9.14	0.000000	0
D:	9.77	0.000000	0
D:	10.38	0.000000	0
D:	11.00	0.000000	0
D:	11.63	0.000000	0
D:	12.23	0.000000	0
D:	12.84	0.000000	0
D:	13.44	0.000000	0
D:	14.04	0.000000	0
D:	14.64	0.000000	0
D:	15.23	0.000000	0
D:	15.84	0.000000	0
D:	16.44	0.000000	0
D:	17.04	0.000000	0
D:	17.75	0.000000	0
D:	18.36	0.000000	0
D:	18.96	0.000000	0
D:	19.63	0.000000	0
D:	20.23	0.000000	0
D:	20.84	0.000000	0
D:	21.44	0.000000	0
D:	22.04	0.000000	0
D:	22.64	0.000000	0
D:	23.24	0.000000	0
D:	23.84	0.000000	0
D:	24.47	0.000000	0
D:	25.09	0.000000	0
D:	26.72	0.000000	0
D:	27.30	0.000000	0
D:	27.90	0.000000	0
D:	28.46	0.000000	0
D:	29.05	0.000000	0
D:	29.95	0.000000	0
D:	30.52	0.000000	0
D:	31.79	0.000000	0
D:	32.38	0.000000	0
D:	32.97	0.000000	0
D:	33.55	0.000000	0
D:	34.24	0.000000	0
D:	34.99	0.000000	0
D:	35.65	0.000000	0
D:	36.33	0.000000	0
D:	37.02	0.000000	0
D:	37.73	0.000000	0
D:	38.37	0.000000	0
D:	38.99	0.000000	0
D:	39.64	0.000000	0
D:	40.28	0.000000	0
D:	40.91	0.000000	0
D:	41.51	0.000000	0
D:	42.12	0.000000	0
D:	42.77	0.000000	0
D:	43.36	0.000000	0
D:	43.97	0.000000	0
D:	44.63	0.000000	0
D:	45.23	0.000000	0
D:	45.84	0.000000	0
D:	46.44	0.000000	0
D:	47.04	0.000000	0
D:	47.63	0.000000	0
D:	48.36	0.000000	0
D:	48.97	0.000000	0
