Syntax version=4
Wed Apr 04 09:16:38 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	207.04	0.106307	0
D:	208.09	0.106307	0
D:	209.18	0.106307	0
D:	210.35	0.106307	0
D:	211.42	0.106307	0
D:	212.51	0.106307	0
D:	213.57	0.106307	0
D:	214.69	0.106307	0
D:	215.68	0.106307	0
D:	216.68	0.106307	0
D:	217.74	0.106307	0
D:	218.86	0.106307	0
D:	219.97	0.106307	0
D:	221.03	0.106307	0
D:	222.10	0.106307	0
D:	223.24	0.106307	0
D:	224.35	0.106307	0
D:	225.45	0.106307	0
D:	226.44	0.106307	0
D:	227.39	0.106307	0
D:	228.51	0.106307	0
D:	230.02	0.106307	0
D:	231.01	0.106307	0
D:	232.12	0.106307	0
D:	233.24	0.106307	0
D:	234.27	0.106307	0
D:	235.39	0.106307	0
D:	236.48	0.106307	0
D:	237.54	0.106307	0
D:	238.59	0.106307	0
D:	239.67	0.106307	0
D:	240.84	0.106307	0
D:	241.80	0.106307	0
D:	242.99	0.106307	0
D:	244.05	0.106307	0
D:	244.99	0.106307	0
D:	245.96	0.106307	0
D:	247.02	0.106307	0
D:	248.09	0.106307	0
D:	249.16	0.106307	0
D:	250.23	0.106307	0
D:	251.32	0.106307	0
D:	252.42	0.106307	0
D:	253.46	0.106307	0
D:	254.50	0.106307	0
D:	255.55	0.106307	0
D:	256.61	0.106307	0
D:	257.75	0.106307	0
D:	258.76	0.106307	0
D:	260.02	0.106307	0
D:	261.03	0.106307	0
D:	262.03	0.106307	0
D:	262.95	0.106307	0
D:	263.81	0.106307	0
D:	264.66	0.106307	0
D:	265.60	0.106307	0
D:	266.57	0.106307	0
D:	267.54	0.106307	0
D:	268.48	0.106307	0
D:	269.42	0.106307	0
D:	270.36	0.106307	0
D:	271.31	0.106307	0
D:	272.32	0.106307	0
D:	273.34	0.106307	0
D:	274.37	0.106307	0
D:	275.37	0.106307	0
D:	276.29	0.106307	0
D:	277.26	0.106307	0
D:	278.15	0.106307	0
D:	279.14	0.106307	0
D:	280.16	0.106307	0
D:	281.20	0.106307	0
D:	282.21	0.106307	0
D:	283.25	0.106307	0
D:	284.31	0.106307	0
D:	285.36	0.106307	0
D:	286.40	0.106307	0
D:	287.43	0.106307	0
D:	288.99	0.106307	0
D:	291.03	0.106307	0
D:	292.02	0.106307	0
D:	292.95	0.106307	0
D:	293.98	0.106307	0
D:	294.95	0.106307	0
D:	295.85	0.106307	0
D:	296.75	0.106307	0
D:	297.65	0.106307	0
D:	298.55	0.106307	0
D:	299.44	0.106307	0
D:	300.34	0.106307	0
D:	301.24	0.106307	0
D:	302.22	0.106307	0
D:	303.17	0.106307	0
D:	304.12	0.106307	0
D:	305.10	0.106307	0
D:	306.01	0.106307	0
D:	306.97	0.106307	0
D:	307.96	0.106307	0
D:	309.03	0.106307	0
D:	310.05	0.106307	0
D:	310.99	0.106307	0
D:	311.94	0.106307	0
D:	312.96	0.106307	0
D:	314.01	0.106307	0
D:	314.99	0.106307	0
D:	316.01	0.106307	0
D:	317.05	0.106307	0
D:	318.06	0.106307	0
D:	319.07	0.106307	0
D:	320.07	0.106307	0
D:	321.09	0.106307	0
D:	322.05	0.106307	0
D:	322.99	0.106307	0
D:	324.10	0.106307	0
D:	325.21	0.106307	0
D:	326.18	0.106307	0
D:	327.13	0.106307	0
D:	328.11	0.106307	0
D:	329.04	0.106307	0
D:	330.03	0.106307	0
D:	330.99	0.106307	0
D:	332.86	0.106307	0
D:	333.85	0.106307	0
D:	334.85	0.106307	0
D:	335.88	0.106307	0
D:	336.89	0.106307	0
D:	337.97	0.106307	0
D:	338.98	0.106307	0
D:	339.98	0.106307	0
D:	341.10	0.106307	0
D:	342.01	0.106307	0
D:	342.96	0.106307	0
D:	343.99	0.106307	0
D:	344.95	0.106307	0
D:	345.99	0.106307	0
D:	347.01	0.106307	0
D:	347.95	0.106307	0
D:	348.98	0.106307	0
D:	350.03	0.106307	0
D:	351.03	0.106307	0
D:	351.97	0.106307	0
D:	352.84	0.106307	0
D:	353.70	0.106307	0
D:	354.54	0.106307	0
D:	355.49	0.106307	0
D:	356.42	0.106307	0
D:	357.37	0.106307	0
D:	358.32	0.106307	0
D:	359.53	0.106307	0
D:	360.46	0.106307	0
D:	361.41	0.106307	0
D:	362.36	0.106307	0
D:	363.28	0.106307	0
D:	364.32	0.106307	0
D:	365.44	0.106307	0
D:	366.39	0.106307	0
D:	367.36	0.106307	0
D:	368.31	0.106307	0
D:	369.37	0.106307	0
D:	370.41	0.106307	0
D:	371.41	0.106307	0
D:	372.37	0.106307	0
D:	373.30	0.106307	0
D:	374.38	0.106307	0
D:	375.38	0.106307	0
D:	376.32	0.106307	0
D:	377.28	0.106307	0
D:	378.28	0.106307	0
D:	379.35	0.106307	0
D:	380.33	0.106307	0
D:	381.29	0.106307	0
D:	382.28	0.106307	0
D:	383.26	0.106307	0
D:	384.15	0.106307	0
D:	385.07	0.106307	0
D:	386.01	0.106307	0
D:	386.97	0.106307	0
D:	387.99	0.106307	0
D:	389.20	0.106307	0
D:	390.13	0.106307	0
D:	391.08	0.106307	0
D:	392.03	0.106307	0
D:	392.99	0.106307	0
D:	393.80	0.106307	0
D:	394.74	0.106307	0
D:	395.78	0.106307	0
D:	396.78	0.106307	0
D:	397.80	0.106307	0
D:	398.75	0.106307	0
D:	399.67	0.106307	0
D:	401.25	0.106307	0
D:	402.21	0.106307	0
D:	403.16	0.106307	0
D:	404.11	0.106307	0
D:	405.12	0.106307	0
D:	406.09	0.106307	0
D:	407.05	0.106307	0
D:	407.97	0.106307	0
D:	408.99	0.106307	0
D:	409.98	0.106307	0
D:	410.96	0.106307	0
D:	411.99	0.106307	0
D:	412.96	0.106307	0
D:	413.99	0.106307	0
D:	415.10	0.106307	0
D:	416.14	0.106307	0
D:	417.17	0.106307	0
D:	418.19	0.106307	0
D:	419.27	0.106307	0
D:	420.22	0.106307	0
D:	421.16	0.106307	0
D:	422.10	0.106307	0
D:	423.13	0.106307	0
D:	424.09	0.106307	0
D:	425.27	0.106307	0
D:	426.24	0.106307	0
D:	427.20	0.106307	0
D:	428.15	0.106307	0
D:	429.10	0.106307	0
D:	430.04	0.106307	0
D:	430.97	0.106307	0
D:	431.98	0.106307	0
D:	432.99	0.106307	0
D:	433.96	0.106307	0
D:	434.99	0.106307	0
D:	436.01	0.106307	0
D:	437.02	0.106307	0
D:	438.04	0.106307	0
D:	439.02	0.106307	0
D:	439.97	0.106307	0
D:	440.99	0.106307	0
D:	441.96	0.106307	0
D:	443.00	0.106307	0
D:	443.95	0.106307	0
D:	444.99	0.106307	0
D:	445.95	0.106307	0
D:	446.99	0.106307	0
D:	447.95	0.106307	0
D:	448.99	0.106307	0
D:	449.95	0.106307	0
D:	450.84	0.106307	0
D:	451.78	0.106307	0
D:	452.75	0.106307	0
D:	453.72	0.106307	0
D:	454.66	0.106307	0
D:	455.53	0.106307	0
D:	456.42	0.106307	0
D:	457.33	0.106307	0
D:	458.24	0.106307	0
D:	459.17	0.106307	0
D:	460.12	0.106307	0
D:	461.11	0.106307	0
D:	462.09	0.106307	0
D:	463.02	0.106307	0
D:	463.96	0.106307	0
D:	464.99	0.106307	0
D:	465.98	0.106307	0
D:	466.95	0.106307	0
D:	468.34	0.106307	0
D:	469.31	0.106307	0
D:	470.30	0.106307	0
D:	471.31	0.106307	0
D:	472.31	0.106307	0
D:	473.31	0.106307	0
