Syntax version=4
Wed Apr 04 08:47:38 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	time(ms)	(0x2000109c,6)	(0x200010be,2)
D:	0.08	0.000000	0
D:	0.79	0.000000	0
D:	1.42	0.000000	0
D:	2.07	0.000000	0
D:	2.77	0.000000	0
D:	3.39	0.000000	0
D:	4.00	0.000000	0
D:	4.57	0.000000	0
D:	5.16	0.000000	0
D:	5.77	0.000000	0
D:	6.33	0.000000	0
D:	6.99	0.000000	0
D:	7.93	0.000000	0
D:	8.64	0.000000	0
D:	9.29	0.000000	0
D:	9.92	0.000000	0
D:	10.52	0.000000	0
D:	11.14	0.000000	0
D:	11.77	0.000000	0
D:	12.37	0.000000	0
D:	12.98	0.000000	0
D:	13.58	0.000000	0
D:	14.19	0.000000	0
D:	14.78	0.000000	0
D:	15.39	0.000000	0
D:	15.98	0.000000	0
D:	16.58	0.000000	0
D:	17.18	0.000000	0
D:	17.78	0.000000	0
D:	18.38	0.000000	0
D:	18.98	0.000000	0
D:	19.58	0.000000	0
D:	20.18	0.000000	0
D:	20.78	0.000000	0
D:	21.38	0.000000	0
D:	21.99	0.000000	0
D:	22.58	0.000000	0
D:	23.18	0.000000	0
D:	23.78	0.000000	0
D:	24.45	0.000000	0
D:	25.07	0.000000	0
D:	25.65	0.000000	0
D:	26.26	0.000000	0
D:	26.91	0.000000	0
D:	27.52	0.000000	0
D:	28.13	0.000000	0
D:	28.77	0.000000	0
D:	29.36	0.000000	0
D:	29.96	0.000000	0
D:	30.55	0.000000	0
D:	31.15	0.000000	0
D:	31.77	0.000000	0
D:	32.36	0.000000	0
D:	32.96	0.000000	0
D:	33.55	0.000000	0
D:	34.16	0.000000	0
D:	34.77	0.000000	0
D:	35.36	0.000000	0
D:	35.96	0.000000	0
D:	36.55	0.000000	0
D:	37.16	0.000000	0
D:	37.77	0.000000	0
D:	38.37	0.000000	0
D:	38.98	0.000000	0
D:	39.58	0.000000	0
D:	40.18	0.000000	0
D:	40.82	0.000000	0
D:	41.43	0.000000	0
D:	42.03	0.000000	0
D:	42.64	0.000000	0
D:	43.23	0.000000	0
D:	43.82	0.000000	0
D:	44.42	0.000000	0
D:	45.03	0.000000	0
D:	45.63	0.000000	0
D:	46.23	0.000000	0
D:	46.84	0.000000	0
D:	47.43	0.000000	0
D:	48.03	0.000000	0
D:	48.63	0.000000	0
D:	49.23	0.000000	0
D:	49.83	0.000000	0
D:	50.43	0.000000	0
D:	51.03	0.000000	0
D:	51.63	0.000000	0
D:	52.23	0.000000	0
D:	52.83	0.000000	0
D:	53.42	0.000000	0
D:	54.03	0.000000	0
D:	54.63	0.000000	0
D:	55.23	0.000000	0
D:	55.83	0.000000	0
D:	56.42	0.000000	0
D:	57.03	0.000000	0
D:	57.65	0.000000	0
D:	58.27	0.000000	0
D:	58.91	0.000000	0
D:	59.50	0.000000	0
D:	60.12	0.000000	0
D:	60.77	0.000000	0
D:	61.35	0.000000	0
D:	61.96	0.000000	0
D:	62.56	0.000000	0
D:	63.16	0.000000	0
D:	63.77	0.000000	0
D:	64.37	0.000000	0
D:	64.98	0.000000	0
D:	65.58	0.000000	0
D:	66.18	0.000000	0
D:	66.78	0.000000	0
D:	67.39	0.000000	0
D:	67.98	0.000000	0
D:	68.58	0.000000	0
D:	69.18	0.000000	0
D:	69.82	0.000000	0
D:	70.42	0.000000	0
D:	71.03	0.000000	0
D:	71.64	0.000000	0
D:	72.24	0.000000	0
D:	72.83	0.000000	0
D:	73.43	0.000000	0
D:	74.07	0.000000	0
D:	74.67	0.000000	0
D:	75.27	0.000000	0
D:	75.91	0.000000	0
D:	76.51	0.000000	0
D:	77.23	0.000000	0
D:	78.02	0.000000	0
D:	78.80	0.000000	0
D:	79.56	0.000000	0
D:	80.30	0.000000	0
D:	81.05	0.000000	0
D:	81.81	0.000000	0
D:	82.53	0.000000	0
D:	83.27	0.000000	0
D:	84.02	0.000000	0
D:	84.80	0.000000	0
D:	85.55	0.000000	0
D:	86.30	0.000000	0
D:	87.04	0.000000	0
D:	87.81	0.000000	0
D:	88.56	0.000000	0
D:	89.30	0.000000	0
D:	90.04	0.000000	0
D:	90.80	0.000000	0
D:	91.55	0.000000	0
D:	92.30	0.000000	0
D:	93.19	0.000000	0
D:	93.94	0.000000	0
D:	94.68	0.000000	0
D:	95.44	0.000000	0
D:	96.24	0.000000	0
D:	97.02	0.000000	0
D:	97.80	0.000000	0
D:	98.55	0.000000	0
D:	99.28	0.000000	0
D:	100.02	0.000000	0
D:	100.80	0.000000	0
D:	101.55	0.000000	0
D:	102.30	0.000000	0
D:	103.05	0.000000	0
D:	103.80	0.000000	0
D:	104.55	0.000000	0
D:	105.30	0.000000	0
D:	106.05	0.000000	0
D:	106.80	0.000000	0
D:	107.62	0.000000	0
D:	108.35	0.000000	0
D:	109.09	0.000000	0
D:	109.84	0.000000	0
D:	110.59	0.000000	0
