Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	136.17	0.000000	0
D:	136.79	0.000000	0
D:	137.44	0.000000	0
D:	138.02	0.000000	0
D:	138.62	0.000000	0
D:	139.23	0.000000	0
D:	139.86	0.000000	0
D:	140.45	0.000000	0
D:	141.05	0.000000	0
D:	141.65	0.000000	0
D:	142.25	0.000000	0
D:	142.85	0.000000	0
D:	143.45	0.000000	0
D:	144.05	0.000000	0
D:	144.66	0.000000	0
D:	145.25	0.000000	0
D:	145.85	0.000000	0
D:	146.45	0.000000	0
D:	147.05	0.000000	0
D:	147.67	0.000000	0
D:	148.27	0.000000	0
D:	148.86	0.000000	0
D:	149.51	0.000000	0
D:	150.11	0.000000	0
D:	150.72	0.000000	0
D:	151.32	0.000000	0
D:	151.93	0.000000	0
D:	152.58	0.000000	0
D:	153.17	0.000000	0
D:	153.77	0.000000	0
D:	154.44	0.000000	0
D:	155.03	0.000000	0
D:	155.63	0.000000	0
D:	156.22	0.000000	0
D:	156.82	0.000000	0
D:	157.44	0.000000	0
D:	158.03	0.000000	0
D:	158.66	0.000000	0
D:	159.26	0.000000	0
D:	159.88	0.000000	0
D:	160.49	0.000000	0
D:	161.09	0.000000	0
D:	161.70	0.000000	0
D:	162.29	0.000000	0
D:	162.90	0.000000	0
D:	163.49	0.000000	0
D:	164.09	0.000000	0
D:	164.70	0.000000	0
D:	165.29	0.000000	0
D:	165.89	0.000000	0
D:	166.49	0.000000	0
D:	167.07	0.000000	0
D:	167.67	0.000000	0
D:	168.25	0.000000	0
D:	168.85	0.000000	0
D:	169.46	0.000000	0
D:	170.09	0.000000	0
D:	170.70	0.000000	0
D:	171.30	0.000000	0
D:	171.90	0.000000	0
D:	172.50	0.000000	0
D:	173.08	0.000000	0
D:	173.67	0.000000	0
D:	174.27	0.000000	0
D:	174.88	0.000000	0
D:	175.49	0.000000	0
D:	176.07	0.000000	0
D:	176.66	0.000000	0
D:	177.24	0.000000	0
D:	177.85	0.000000	0
D:	178.46	0.000000	0
D:	179.06	0.000000	0
