Syntax version=4
Wed Apr 04 08:53:29 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	time(ms)	(0x2000109c,6)	(0x200010be,2)
D:	0.10	0.098332	0
D:	0.82	0.098332	0
D:	1.49	0.098332	0
D:	2.17	0.098332	0
D:	2.84	0.098332	0
D:	3.47	0.098332	0
D:	4.09	0.098332	0
D:	4.72	0.098332	0
D:	5.43	0.098332	0
D:	6.07	0.098332	0
D:	6.66	0.098332	0
D:	7.26	0.098332	0
D:	7.88	0.098332	0
D:	8.52	0.098332	0
D:	9.18	0.098332	0
D:	9.76	0.098332	0
D:	10.37	0.098332	0
D:	11.16	0.098332	0
D:	11.84	0.098332	0
D:	12.50	0.098332	0
D:	13.23	0.098332	0
D:	13.82	0.098332	0
D:	14.44	0.098332	0
D:	15.07	0.098332	0
D:	15.67	0.098332	0
D:	16.28	0.098332	0
D:	16.88	0.098332	0
D:	17.47	0.098332	0
D:	18.08	0.098332	0
D:	18.67	0.098332	0
D:	19.27	0.098332	0
D:	19.87	0.098332	0
D:	20.47	0.098332	0
D:	21.07	0.098332	0
D:	21.67	0.098332	0
D:	22.27	0.098332	0
D:	22.87	0.098332	0
D:	23.47	0.098332	0
D:	24.07	0.098332	0
D:	24.66	0.098332	0
D:	25.27	0.098332	0
D:	25.87	0.098332	0
D:	26.48	0.098332	0
D:	27.08	0.098332	0
D:	27.67	0.098332	0
D:	28.27	0.098332	0
D:	28.87	0.098332	0
D:	29.47	0.098332	0
D:	30.07	0.098332	0
D:	30.67	0.098332	0
D:	31.34	0.098332	0
D:	32.07	0.098332	0
D:	32.67	0.098332	0
D:	33.28	0.098332	0
D:	33.87	0.098332	0
D:	34.47	0.098332	0
D:	35.07	0.098332	0
D:	35.67	0.098332	0
D:	36.28	0.098332	0
D:	36.87	0.098332	0
D:	37.47	0.098332	0
D:	38.07	0.098332	0
D:	38.67	0.098332	0
D:	39.27	0.098332	0
D:	39.87	0.098332	0
D:	40.47	0.098332	0
D:	41.08	0.098332	0
D:	41.67	0.098332	0
D:	42.27	0.098332	0
D:	42.87	0.098332	0
D:	43.47	0.098332	0
D:	44.07	0.098332	0
D:	44.66	0.098332	0
D:	45.28	0.098332	0
D:	45.89	0.098332	0
D:	46.50	0.098332	0
D:	47.11	0.098332	0
D:	47.72	0.098332	0
D:	48.43	0.098332	0
D:	49.06	0.098332	0
D:	49.66	0.098332	0
D:	50.28	0.098332	0
D:	50.87	0.098332	0
D:	51.48	0.098332	0
D:	52.07	0.098332	0
D:	52.67	0.098332	0
D:	53.27	0.098332	0
D:	53.87	0.098332	0
D:	54.48	0.098332	0
D:	55.07	0.098332	0
D:	55.67	0.098332	0
D:	56.27	0.098332	0
D:	56.87	0.098332	0
D:	57.47	0.098332	0
D:	58.08	0.098332	0
D:	58.67	0.098332	0
D:	59.27	0.098332	0
D:	59.87	0.098332	0
D:	60.48	0.098332	0
D:	61.07	0.098332	0
D:	61.93	0.098332	0
D:	62.71	0.098332	0
D:	63.53	0.098332	0
D:	64.34	0.098332	0
D:	65.11	0.098332	0
D:	65.86	0.098332	0
D:	66.64	0.098332	0
D:	67.41	0.098332	0
D:	68.20	0.098332	0
D:	68.96	0.098332	0
D:	69.74	0.098332	0
D:	70.52	0.098332	0
D:	71.33	0.098332	0
D:	72.10	0.098332	0
D:	72.86	0.098332	0
D:	73.64	0.098332	0
D:	74.41	0.098332	0
D:	75.20	0.098332	0
D:	75.97	0.098332	0
D:	76.74	0.098332	0
D:	77.51	0.098332	0
D:	78.34	0.098332	0
D:	79.11	0.098332	0
D:	80.01	0.098332	0
D:	80.78	0.098332	0
D:	81.56	0.098332	0
D:	82.34	0.098332	0
D:	83.10	0.098332	0
D:	83.86	0.098332	0
D:	84.64	0.098332	0
D:	85.42	0.098332	0
D:	86.21	0.098332	0
D:	86.97	0.098332	0
D:	87.75	0.098332	0
D:	88.51	0.098332	0
