rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1523873884469169044,,51,,1523873884,468954429,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.09714068314187152)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873884477803634,,51,,1523873884,477643417,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971419987133153029)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873885467494420,,29,,1523873885,467294105,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523873885469199087,,52,,1523873885,468962411,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.097132776129215781)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873885477790358,,52,,1523873885,477641990,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971368911123220435)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873886469189064,,53,,1523873886,468964579,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.0972026158896346359)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873886477781415,,53,,1523873886,477634782,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971912554176248555)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873887468867549,,30,,1523873887,468647564,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523873887469293262,,54,,1523873887,468971873,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.097117728514386048)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873887477824877,,54,,1523873887,477655613,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.097117728514386048)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
