Syntax version=4
Wed May 02 10:41:51 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)
D:	73.60	-1733	134	15861	-97	-123	-50	1557	608	5425
D:	74.51	-1733	134	15861	-81	-123	-50	1557	608	5425
D:	75.57	-1735	76	15755	-81	-123	-50	1557	608	5425
D:	76.46	-1735	76	15755	-81	-123	-50	1557	608	5425
D:	77.35	-1735	76	15755	-81	-123	-50	1557	608	5425
D:	78.25	-1735	76	15755	-62	-70	-52	1557	608	5425
D:	79.14	-1735	76	15755	-62	-70	-52	1557	608	5425
D:	80.06	-1744	30	15962	-62	-70	-52	1557	608	5425
D:	81.00	-1744	30	15962	-62	-70	-52	1557	608	5425
D:	81.90	-1744	30	15962	-35	-195	-21	1557	608	5425
D:	82.83	-1744	30	15962	-35	-195	-21	1539	637	5610
D:	83.73	-1617	85	15852	-35	-195	-21	1539	637	5610
D:	84.62	-1617	85	15852	-35	-195	-21	1539	637	5610
D:	85.58	-1617	85	15852	-35	-64	3	1539	637	5610
D:	86.46	-1617	85	15852	-112	-64	3	1539	637	5610
D:	87.41	-1585	68	15649	-112	-64	3	1539	637	5610
D:	88.48	-1585	68	15649	-112	-64	3	1539	637	5610
D:	89.47	-1585	68	15649	-112	-10	11	1539	637	5610
D:	90.34	-1585	68	15649	-79	-10	11	1539	637	5610
D:	91.23	-1585	68	15649	-79	-10	11	1539	637	5610
D:	92.11	-1681	107	16110	-79	-10	11	1539	637	5610
D:	93.00	-1681	107	16110	-79	-10	11	1539	637	5610
D:	93.89	-1681	107	16110	-39	28	-83	1539	637	5610
D:	94.76	-1681	107	16110	-39	28	-83	1539	637	5610
D:	95.63	-1649	28	15464	-39	28	-83	1539	637	5610
D:	96.56	-1649	28	15464	-39	28	-83	1539	637	5610
D:	97.46	-1649	28	15464	-39	-8	-61	1539	637	5610
D:	98.34	-1649	28	15464	-28	-8	-61	1539	637	5610
D:	99.21	-1649	28	15464	-28	-8	-61	1539	637	5610
