Syntax version=4
Wed May 02 10:43:07 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)
D:	68.31	-1611	11159	11619	150	73	124	1417	-3153	4618
D:	69.55	-1611	11159	11619	150	73	124	1417	-3153	4618
D:	70.68	-1611	11159	11619	16	105	151	1409	-3153	4618
D:	71.66	-1611	11232	11767	16	105	151	1409	-3153	4618
D:	72.55	-1736	11232	11767	16	105	151	1409	-3153	4618
D:	73.48	-1736	11232	11767	16	105	151	1409	-3153	4618
D:	74.44	-1736	11232	11767	134	63	201	1409	-3153	4618
D:	75.32	-1736	11232	11767	134	63	201	1409	-3153	4618
D:	76.22	-1721	11089	11617	134	63	201	1409	-3153	4618
D:	77.12	-1721	11089	11617	134	63	201	1409	-3153	4618
D:	78.00	-1721	11089	11617	134	127	285	1409	-3153	4618
D:	79.03	-1721	11089	11617	92	127	285	1409	-3153	4618
D:	79.93	-1608	11097	11549	92	127	285	1409	-3153	4618
D:	80.95	-1608	11097	11549	92	127	285	1409	-3153	4618
D:	81.99	-1608	11097	11549	92	178	357	1409	-3153	4618
D:	82.88	-1608	11097	11549	60	178	357	1409	-3153	4618
D:	83.76	-1606	11152	11558	60	178	357	1409	-3153	4618
D:	84.75	-1606	11152	11558	60	178	357	1409	-3153	4618
D:	85.65	-1606	11152	11558	60	178	357	1409	-3153	4618
D:	86.57	-1606	11152	11558	-47	126	272	1409	-3153	4618
D:	87.49	-1606	11152	11558	-47	126	272	1409	-3153	4618
D:	88.37	-1616	11165	11639	-47	126	272	1409	-3153	4618
D:	89.37	-1616	11165	11639	-47	126	272	1409	-3153	4618
D:	90.51	-1616	11165	11639	-17	8	230	1409	-3153	4618
D:	91.47	-1616	11165	11639	-17	8	230	1422	-3173	4379
D:	92.36	-1835	11218	11813	-17	8	230	1422	-3173	4379
D:	93.23	-1835	11218	11813	-17	8	230	1422	-3173	4379
D:	94.11	-1835	11218	11813	239	204	371	1422	-3173	4379
D:	94.99	-1835	11218	11813	33	204	371	1422	-3173	4379
D:	95.93	-1611	11256	11964	33	204	371	1422	-3173	4379
D:	96.91	-1611	11256	11964	33	204	371	1422	-3173	4379
D:	97.79	-1611	11256	11964	33	199	252	1422	-3173	4379
D:	98.67	-1611	11256	11964	-59	199	252	1422	-3173	4379
D:	99.55	-1611	11256	11964	-59	199	252	1422	-3173	4379
D:	100.45	-1763	11201	11708	-59	199	252	1422	-3173	4379
D:	101.33	-1763	11201	11708	-59	199	252	1422	-3173	4379
D:	102.22	-1763	11201	11708	-144	176	275	1422	-3173	4379
D:	103.14	-1763	11201	11708	-144	176	275	1422	-3173	4379
D:	104.18	-1753	11192	11814	-144	176	275	1422	-3173	4379
D:	105.12	-1753	11192	11814	-144	176	275	1422	-3173	4379
D:	105.99	-1753	11192	11814	-144	150	477	1422	-3173	4379
D:	106.89	-1753	11192	11814	-107	150	477	1422	-3173	4379
D:	107.76	-1643	11116	11972	-107	150	477	1422	-3173	4379
D:	108.65	-1643	11116	11972	-107	150	477	1422	-3173	4379
D:	109.54	-1643	11116	11972	-107	150	477	1422	-3173	4379
D:	110.41	-1643	11116	11972	-103	1	234	1422	-3173	4379
D:	111.28	-1643	11116	11972	-103	1	234	1406	-3173	4521
D:	112.21	-1768	11176	11550	-103	1	234	1406	-3173	4521
D:	113.11	-1768	11176	11550	-103	1	234	1406	-3173	4521
