rosbagTimestamp,clock,secs,nsecs
1524145438701339592,,1524145438,701339592
1524145438711406195,,1524145438,711406195
1524145438721477237,,1524145438,721477237
1524145438731537971,,1524145438,731537971
1524145438741573401,,1524145438,741573401
1524145438751634352,,1524145438,751634352
1524145438751634352,,1524145438,761694625
1524145438771765597,,1524145438,771765597
1524145438781825082,,1524145438,781825082
1524145438781825082,,1524145438,791886428
1524145438801947719,,1524145438,801947719
1524145438812020906,,1524145438,812020906
1524145438822082121,,1524145438,822082121
1524145438832138331,,1524145438,832138331
1524145438842195735,,1524145438,842195735
1524145438852253171,,1524145438,852253171
1524145438862309613,,1524145438,862309613
1524145438872387896,,1524145438,872387896
1524145438872387896,,1524145438,882520835
1524145438892624448,,1524145438,892624448
1524145438902745922,,1524145438,902745922
1524145438912871138,,1524145438,912871138
1524145438922958415,,1524145438,922958415
1524145438933060885,,1524145438,933060885
1524145438943184214,,1524145438,943184214
1524145438953287716,,1524145438,953287716
1524145438963350349,,1524145438,963350349
1524145438973453233,,1524145438,973453233
1524145438983520256,,1524145438,983520256
1524145438993590424,,1524145438,993590424
1524145439003711292,,1524145439,3711292
1524145439013777494,,1524145439,13777494
1524145439023887882,,1524145439,23887882
1524145439033983754,,1524145439,33983754
1524145439044074497,,1524145439,44074497
1524145439054197669,,1524145439,54197669
1524145439064270568,,1524145439,64270568
1524145439064270568,,1524145439,74344409
1524145439084414170,,1524145439,84414170
1524145439094508086,,1524145439,94508086
1524145439104612027,,1524145439,104612027
1524145439114725149,,1524145439,114725149
1524145439124855851,,1524145439,124855851
1524145439134946002,,1524145439,134946002
1524145439145033969,,1524145439,145033969
1524145439155093695,,1524145439,155093695
1524145439165183741,,1524145439,165183741
1524145439165183741,,1524145439,175304688
1524145439185384428,,1524145439,185384428
1524145439185384428,,1524145439,195456380
1524145439205564236,,1524145439,205564236
1524145439215676366,,1524145439,215676366
1524145439225778645,,1524145439,225778645
1524145439235884914,,1524145439,235884914
1524145439245967882,,1524145439,245967882
1524145439256047845,,1524145439,256047845
1524145439266125070,,1524145439,266125070
1524145439276245884,,1524145439,276245884
1524145439286314592,,1524145439,286314592
1524145439296358036,,1524145439,296358036
1524145439306482944,,1524145439,306482944
1524145439316615322,,1524145439,316615322
1524145439326767363,,1524145439,326767363
1524145439336874762,,1524145439,336874762
1524145439346944847,,1524145439,346944847
1524145439357037416,,1524145439,357037416
1524145439367119334,,1524145439,367119334
1524145439377217325,,1524145439,377217325
1524145439387309067,,1524145439,387309067
1524145439397396375,,1524145439,397396375
1524145439407518700,,1524145439,407518700
1524145439417594038,,1524145439,417594038
1524145439427655855,,1524145439,427655855
1524145439437780716,,1524145439,437780716
1524145439447874840,,1524145439,447874840
1524145439457973994,,1524145439,457973994
1524145439468051412,,1524145439,468051412
1524145439478135135,,1524145439,478135135
1524145439488216661,,1524145439,488216661
1524145439498283368,,1524145439,498283368
1524145439508379457,,1524145439,508379457
1524145439518479722,,1524145439,518479722
1524145439528540075,,1524145439,528540075
1524145439538663523,,1524145439,538663523
1524145439548754968,,1524145439,548754968
1524145439558813121,,1524145439,558813121
1524145439558813121,,1524145439,568872216
1524145439578957677,,1524145439,578957677
1524145439589028090,,1524145439,589028090
1524145439599098537,,1524145439,599098537
1524145439609192476,,1524145439,609192476
1524145439609192476,,1524145439,619289933
1524145439619289933,,1524145439,629378217
1524145439639483196,,1524145439,639483196
1524145439649562667,,1524145439,649562667
1524145439659631487,,1524145439,659631487
1524145439669700921,,1524145439,669700921
1524145439679763563,,1524145439,679763563
1524145439679763563,,1524145439,689834576
1524145439699919548,,1524145439,699919548
1524145439710016942,,1524145439,710016942
1524145439720076260,,1524145439,720076260
1524145439720076260,,1524145439,730148474
1524145439740235125,,1524145439,740235125
1524145439750314964,,1524145439,750314964
1524145439760402271,,1524145439,760402271
1524145439770458562,,1524145439,770458562
1524145439780530785,,1524145439,780530785
1524145439790653714,,1524145439,790653714
1524145439800721495,,1524145439,800721495
1524145439810808559,,1524145439,810808559
1524145439820879767,,1524145439,820879767
1524145439830959948,,1524145439,830959948
1524145439841026966,,1524145439,841026966
1524145439851098728,,1524145439,851098728
1524145439861176399,,1524145439,861176399
1524145439871246494,,1524145439,871246494
1524145439881329231,,1524145439,881329231
1524145439891425087,,1524145439,891425087
1524145439901504426,,1524145439,901504426
1524145439911624444,,1524145439,911624444
1524145439921764637,,1524145439,921764637
1524145439931897776,,1524145439,931897776
1524145439942039004,,1524145439,942039004
1524145439952131685,,1524145439,952131685
1524145439952131685,,1524145439,962215689
1524145439972289239,,1524145439,972289239
1524145439982378338,,1524145439,982378338
1524145439982378338,,1524145439,992467364
1524145440002543088,,1524145440,2543088
1524145440012616938,,1524145440,12616938
1524145440012616938,,1524145440,22693929
1524145440032805721,,1524145440,32805721
1524145440042914733,,1524145440,42914733
